condition,face_idx,slug,det_rate,mean_conf,max_conf
cn_ptd,76,harbor_dusk,0.0,0.0,0.0
cn_ptd,77,rooftop_city,0.01639344262295082,0.5141802430152893,0.5141802430152893
cn_ptd,78,skyline_night,0.0,0.0,0.0
cn_ptd,79,subway_tunnel,0.0,0.0,0.0
cn_ptd,80,back_alley,0.0,0.0,0.0
cn_ptd,81,stormy_sea,0.0,0.0,0.0
cn_ptd,82,calm_lake,1.0,0.6726123329068794,0.7393389940261841
cn_ptd,83,frozen_lake,0.2786885245901639,0.534007423064288,0.6006568670272827
cn_ptd,84,reflection_pond,0.0,0.0,0.0
cn_ptd,85,coral_reef,0.0,0.0,0.0
cn_ptd,86,mangrove_forest,0.18032786885245902,0.5389062328772112,0.5840439200401306
cn_ptd,87,misty_swamp,0.0,0.0,0.0
cn_ptd,88,arctic_tundra,0.0,0.0,0.0
cn_ptd,89,african_savanna,0.0,0.0,0.0
cn_ptd,90,twilight_plain,0.0,0.0,0.0
cn_ptd,91,golden_hour_field,0.0,0.0,0.0
cn_ptd,92,sunrise_mountains,0.0,0.0,0.0
cn_ptd,93,rainbow_valley,0.0,0.0,0.0
cn_ptd,94,tornado_plains,0.01639344262295082,0.5006439685821533,0.5006439685821533
cn_ptd,95,starry_desert,0.0,0.0,0.0
cn_ptd,96,weathered_stone,0.9180327868852459,0.5439859383872577,0.5922024250030518
cn_ptd,97,tree_bark,0.4918032786885246,0.5169089277585347,0.5485805869102478
cn_ptd,98,cracked_earth,0.0,0.0,0.0
cn_ptd,99,ivy_wall,0.0,0.0,0.0
ptd_only,0,snowy_mountain,0.16393442622950818,0.5275972843170166,0.5677475929260254
ptd_only,1,canyon,1.0,0.8447432185782761,0.8660321235656738
ptd_only,2,sand_dune,0.3770491803278688,0.5338978456414264,0.6049659848213196
ptd_only,3,desert,0.0,0.0,0.0
ptd_only,4,mountain_stream,0.0,0.0,0.0
ptd_only,5,sky,1.0,0.7112461445761509,0.8172731399536133
ptd_only,6,village_mountains,0.08196721311475409,0.5140365242958069,0.5293663144111633
ptd_only,7,forest,0.0,0.0,0.0
ptd_only,8,ancient_ruins,1.0,0.5874274548937063,0.6826435923576355
ptd_only,9,city_street,0.0,0.0,0.0
ptd_only,10,waterfall,0.0,0.0,0.0
ptd_only,11,sea_cliff,0.01639344262295082,0.5026857256889343,0.5026857256889343
ptd_only,12,volcano,0.0,0.0,0.0
ptd_only,13,glacier,1.0,0.6614992237481915,0.7081419229507446
ptd_only,14,cave_entrance,1.0,0.7805640589995463,0.8469280004501343
ptd_only,15,beach,0.0,0.0,0.0
ptd_only,16,ocean_waves,0.0,0.0,0.0
ptd_only,17,iceberg,0.9180327868852459,0.518425179379327,0.5383546948432922
ptd_only,18,fjord,0.0,0.0,0.0
ptd_only,19,tropical_lagoon,0.5737704918032787,0.5262640305927822,0.5677555203437805
ptd_only,20,desert_oasis,0.7049180327868853,0.521330572838007,0.5622902512550354
ptd_only,21,hot_springs,1.0,0.7485285352488034,0.8037623167037964
ptd_only,22,geyser,0.09836065573770492,0.5115094482898712,0.5188238024711609
ptd_only,23,aurora,0.0,0.0,0.0
ptd_only,24,starry_night,0.0,0.0,0.0
ptd_only,25,sunset_hills,0.18032786885245902,0.5501146641644564,0.580025851726532
ptd_only,26,storm_clouds,0.0,0.0,0.0
ptd_only,27,lightning_storm,0.0,0.0,0.0
ptd_only,28,foggy_valley,1.0,0.8010694452973662,0.8335920572280884
ptd_only,29,misty_morning,0.4098360655737705,0.5282613587379456,0.5797057747840881
ptd_only,30,rainforest,0.0,0.0,0.0
ptd_only,31,bamboo_forest,0.0,0.0,0.0
ptd_only,32,autumn_forest,1.0,0.5670755652130627,0.6132699847221375
ptd_only,33,winter_forest,1.0,0.673683693174456,0.7792096138000488
ptd_only,34,pine_forest,1.0,0.5750436724209395,0.6519463062286377
ptd_only,35,misty_forest,1.0,0.6132571247757458,0.6333428621292114
ptd_only,36,moonlit_forest,1.0,0.5905810526159944,0.6292712688446045
ptd_only,37,wildflower_meadow,0.0,0.0,0.0
ptd_only,38,lavender_field,0.9672131147540983,0.5288375585766162,0.5579376816749573
ptd_only,39,sunflower_field,0.0,0.0,0.0
ptd_only,40,wheat_field,0.0,0.0,0.0
ptd_only,41,rice_terraces,0.0,0.0,0.0
ptd_only,42,vineyard,0.16393442622950818,0.5332046866416931,0.5520101189613342
ptd_only,43,tea_plantation,0.0,0.0,0.0
ptd_only,44,cherry_blossom,0.0,0.0,0.0
ptd_only,45,ancient_oak,0.0,0.0,0.0
