condition,face_idx,slug,viclip
vanilla,46,willow_tree,0.17851904034614563
vanilla,47,baobab_tree,0.002316772937774658
vanilla,48,overgrown_garden,0.1785164177417755
vanilla,49,mesa,0.23704102635383606
vanilla,50,rock_arch,0.0481451191008091
vanilla,51,hoodoos,0.19143886864185333
vanilla,52,sea_stacks,0.2666129767894745
vanilla,53,salt_flat,0.08418460190296173
vanilla,54,crystal_cave,0.13228805363178253
vanilla,55,basalt_columns,0.13258294761180878
vanilla,56,badlands,0.03398437798023224
vanilla,57,high_plateau,0.08238601684570312
vanilla,58,limestone_cliff,0.13802598416805267
vanilla,59,medieval_castle,0.2750205099582672
vanilla,60,gothic_cathedral,0.10419496148824692
vanilla,61,roman_ruins,0.05618743225932121
vanilla,62,japanese_temple,-0.0857551097869873
vanilla,63,chinese_pagoda,-0.031499236822128296
vanilla,64,jungle_temple,0.20348520576953888
vanilla,65,lighthouse,0.22724759578704834
vanilla,66,stone_bridge,-0.0026134029030799866
vanilla,67,abandoned_factory,0.10099850594997406
vanilla,68,old_train_station,0.2664130926132202
vanilla,69,moroccan_market,-0.005616888403892517
vanilla,70,venetian_canal,0.009664211422204971
vanilla,71,parisian_street,0.030343692749738693
vanilla,72,tuscan_village,0.05740106478333473
vanilla,73,alpine_village,0.09386569261550903
vanilla,74,nordic_village,0.00980912521481514
vanilla,75,english_countryside,0.005619402974843979
vanilla,76,harbor_dusk,-0.02148398756980896
vanilla,77,rooftop_city,-0.031896620988845825
vanilla,78,skyline_night,0.14963632822036743
vanilla,79,subway_tunnel,0.1590878665447235
vanilla,80,back_alley,0.2116052210330963
vanilla,81,stormy_sea,0.2690247595310211
vanilla,82,calm_lake,0.02657375857234001
vanilla,83,frozen_lake,0.036931756883859634
vanilla,84,reflection_pond,-0.02227960154414177
vanilla,85,coral_reef,0.032281264662742615
vanilla,86,mangrove_forest,0.12682105600833893
vanilla,87,misty_swamp,0.10878077149391174
vanilla,88,arctic_tundra,0.02855786681175232
vanilla,89,african_savanna,0.025630522519350052
vanilla,90,twilight_plain,0.004639007151126862
vanilla,91,golden_hour_field,0.041572824120521545
vanilla,92,sunrise_mountains,0.034452173858881
vanilla,93,rainbow_valley,0.11665160208940506
vanilla,94,tornado_plains,-0.0031077712774276733
vanilla,95,starry_desert,-0.04976467788219452
vanilla,96,weathered_stone,0.09755337238311768
vanilla,97,tree_bark,0.20544451475143433
vanilla,98,cracked_earth,0.1837405413389206
vanilla,99,ivy_wall,0.10424601286649704
