condition,face_idx,slug,lpips,score
cn_ptd,78,skyline_night,0.7280106544494629,0.2719893455505371
cn_ptd,79,subway_tunnel,0.6787959337234497,0.3212040662765503
cn_ptd,80,back_alley,0.7165113687515259,0.2834886312484741
cn_ptd,81,stormy_sea,0.6941962242126465,0.3058037757873535
cn_ptd,82,calm_lake,0.7517958879470825,0.24820411205291748
cn_ptd,83,frozen_lake,0.7219653725624084,0.27803462743759155
cn_ptd,84,reflection_pond,0.7353187799453735,0.26468122005462646
cn_ptd,85,coral_reef,0.7333659529685974,0.2666340470314026
cn_ptd,86,mangrove_forest,0.6919561624526978,0.30804383754730225
cn_ptd,87,misty_swamp,0.6795258522033691,0.32047414779663086
cn_ptd,88,arctic_tundra,0.7260407209396362,0.27395927906036377
cn_ptd,89,african_savanna,0.6584701538085938,0.34152984619140625
cn_ptd,90,twilight_plain,0.7434387803077698,0.2565612196922302
cn_ptd,91,golden_hour_field,0.7627954483032227,0.23720455169677734
cn_ptd,92,sunrise_mountains,0.6594849824905396,0.34051501750946045
cn_ptd,93,rainbow_valley,0.6842942237854004,0.3157057762145996
cn_ptd,94,tornado_plains,0.5845009088516235,0.41549909114837646
cn_ptd,95,starry_desert,0.7241088151931763,0.27589118480682373
cn_ptd,96,weathered_stone,0.5998732447624207,0.40012675523757935
cn_ptd,97,tree_bark,0.6550343036651611,0.34496569633483887
cn_ptd,98,cracked_earth,0.6941823959350586,0.3058176040649414
cn_ptd,99,ivy_wall,0.6585899591445923,0.3414100408554077
ptd_only,0,snowy_mountain,0.7494891881942749,0.2505108118057251
ptd_only,1,canyon,0.7126048803329468,0.2873951196670532
ptd_only,2,sand_dune,0.7307154536247253,0.26928454637527466
ptd_only,3,desert,0.4325414299964905,0.5674585700035095
ptd_only,4,mountain_stream,0.4170251488685608,0.5829748511314392
ptd_only,5,sky,0.7240570783615112,0.27594292163848877
ptd_only,6,village_mountains,0.7501449584960938,0.24985504150390625
ptd_only,7,forest,0.7006363272666931,0.2993636727333069
ptd_only,8,ancient_ruins,0.6978146433830261,0.3021853566169739
ptd_only,9,city_street,0.4262339174747467,0.5737660825252533
ptd_only,10,waterfall,0.7385984659194946,0.26140153408050537
ptd_only,11,sea_cliff,0.6198617815971375,0.38013821840286255
ptd_only,12,volcano,0.33615642786026,0.66384357213974
ptd_only,13,glacier,0.5806366205215454,0.4193633794784546
ptd_only,14,cave_entrance,0.7604907751083374,0.2395092248916626
ptd_only,15,beach,0.3465491235256195,0.6534508764743805
ptd_only,16,ocean_waves,0.7475996017456055,0.25240039825439453
ptd_only,17,iceberg,0.49577489495277405,0.504225105047226
ptd_only,18,fjord,0.4079423248767853,0.5920576751232147
ptd_only,19,tropical_lagoon,0.4091704487800598,0.5908295512199402
ptd_only,20,desert_oasis,0.5391980409622192,0.46080195903778076
ptd_only,21,hot_springs,0.7100778818130493,0.2899221181869507
ptd_only,22,geyser,0.6563854813575745,0.34361451864242554
ptd_only,23,aurora,0.7128937244415283,0.2871062755584717
ptd_only,24,starry_night,0.8080639839172363,0.19193601608276367
ptd_only,25,sunset_hills,0.4683128595352173,0.5316871404647827
ptd_only,26,storm_clouds,0.7845234870910645,0.21547651290893555
ptd_only,27,lightning_storm,0.6302661895751953,0.3697338104248047
ptd_only,28,foggy_valley,0.7784328460693359,0.22156715393066406
ptd_only,29,misty_morning,0.6152413487434387,0.3847586512565613
ptd_only,30,rainforest,0.7330660223960876,0.26693397760391235
ptd_only,31,bamboo_forest,0.6156139373779297,0.3843860626220703
ptd_only,32,autumn_forest,0.34145697951316833,0.6585430204868317
ptd_only,33,winter_forest,0.7286672592163086,0.2713327407836914
ptd_only,34,pine_forest,0.5990679860115051,0.4009320139884949
ptd_only,35,misty_forest,0.3908326029777527,0.6091673970222473
ptd_only,36,moonlit_forest,0.5072695016860962,0.4927304983139038
ptd_only,37,wildflower_meadow,0.4962258040904999,0.5037741959095001
ptd_only,38,lavender_field,0.49337291717529297,0.506627082824707
ptd_only,39,sunflower_field,0.3781002461910248,0.6218997538089752
ptd_only,40,wheat_field,0.7318711876869202,0.26812881231307983
ptd_only,41,rice_terraces,0.5446588397026062,0.4553411602973938
ptd_only,42,vineyard,0.7205020189285278,0.27949798107147217
ptd_only,43,tea_plantation,0.7344000339508057,0.26559996604919434
ptd_only,44,cherry_blossom,0.698239803314209,0.301760196685791
ptd_only,45,ancient_oak,0.8287262916564941,0.17127370834350586
ptd_only,46,willow_tree,0.5665827989578247,0.4334172010421753
ptd_only,47,baobab_tree,0.5947411060333252,0.4052588939666748
ptd_only,48,overgrown_garden,0.7595371603965759,0.24046283960342407
ptd_only,49,mesa,0.4618891179561615,0.5381108820438385
ptd_only,50,rock_arch,0.6127855181694031,0.3872144818305969
ptd_only,51,hoodoos,0.35658979415893555,0.6434102058410645
ptd_only,52,sea_stacks,0.46299561858177185,0.5370043814182281
ptd_only,53,salt_flat,0.5284464955329895,0.4715535044670105
ptd_only,54,crystal_cave,0.37094762921333313,0.6290523707866669
ptd_only,55,basalt_columns,0.4692871868610382,0.5307128131389618
ptd_only,56,badlands,0.6036193370819092,0.3963806629180908
ptd_only,57,high_plateau,0.31883230805397034,0.6811676919460297
ptd_only,58,limestone_cliff,0.5416197180747986,0.4583802819252014
ptd_only,59,medieval_castle,0.7399815320968628,0.2600184679031372
ptd_only,60,gothic_cathedral,0.6635916233062744,0.3364083766937256
ptd_only,61,roman_ruins,0.692807137966156,0.307192862033844
ptd_only,62,japanese_temple,0.6282053589820862,0.3717946410179138
ptd_only,63,chinese_pagoda,0.47925087809562683,0.5207491219043732
ptd_only,64,jungle_temple,0.8753910064697266,0.12460899353027344
ptd_only,65,lighthouse,0.5138282179832458,0.48617178201675415
ptd_only,66,stone_bridge,0.7155896425247192,0.28441035747528076
