condition,face_idx,slug,aesthetic
vanilla,84,reflection_pond,6.304434299468994
vanilla,85,coral_reef,5.132284164428711
vanilla,86,mangrove_forest,5.349781036376953
vanilla,87,misty_swamp,5.783303737640381
vanilla,88,arctic_tundra,6.148308753967285
vanilla,89,african_savanna,6.103229522705078
vanilla,90,twilight_plain,5.505190849304199
vanilla,91,golden_hour_field,5.789707183837891
vanilla,92,sunrise_mountains,6.029080390930176
vanilla,93,rainbow_valley,5.670713424682617
vanilla,94,tornado_plains,5.488607406616211
vanilla,95,starry_desert,5.013181209564209
vanilla,96,weathered_stone,5.714686870574951
vanilla,97,tree_bark,5.057095527648926
vanilla,98,cracked_earth,4.550314903259277
vanilla,99,ivy_wall,5.737007141113281
